algo,params_M,infer_ms_mean,infer_ms_std,train_s_per_1k,train_hours_60k_extrapolated,timing_short_segment_s,timing_long_segment_s
ACC,,0.028,0.0271,,,,
MPC,,24.9539,24.4283,,,,
LQR,,0.6929,0.6754,,,,
IDM,,0.0584,0.0582,,,,
PA-CSAC,0.375,1.1153,0.9731,79.19,1.32,299.0,615.8
SAC,0.215,0.5815,0.3313,16.29,0.27,53.0,118.2
TD3,0.215,0.557,0.3323,11.6,0.19,24.6,71.0
DDPG,0.176,0.6212,0.5347,8.62,0.14,41.2,75.7
PPO,0.143,1.1811,1.2086,1.94,0.03,5.1,12.8
PPO-Lag,0.214,0.6622,0.0717,0.99,0.02,10.3,14.2
