n_scen,v_mean_kmh,t_mean_s,delay_kmh,fuel_l_per_h,fuel_l_100km,method,seed,basis
17,30.807986935929566,70.0,-1.3591664069129354,2.4597868939129377,8.070290357800427,PA-CSAC,22,valid
17,30.807986935929566,70.0,-1.3591664069129354,2.4597868939129377,8.070290357800427,PA-CSAC,22,all
16,29.607874713681674,70.0,-0.487435083709159,1.7768969849019456,6.376945994313968,PA-CSAC,32,valid
17,30.148904536406764,70.0,-0.7000840073901389,1.7992803625000864,6.328865363418545,PA-CSAC,32,all
12,24.932346593497694,70.0,-0.4073071015142968,1.1976781940423555,7.170870341350152,PA-CSAC,42,valid
17,29.96498098000899,70.0,-0.5161604509923621,1.3100038048886922,6.1738510238475754,PA-CSAC,42,all
17,30.3619275015591,70.0,-0.9131069725424737,1.4188078631784529,5.202723305311876,PA-CSAC,52,valid
17,30.3619275015591,70.0,-0.9131069725424737,1.4188078631784529,5.202723305311876,PA-CSAC,52,all
16,29.670709778058484,70.0,-0.5502701480859709,1.4023635038399982,5.348375703434284,PA-CSAC,62,valid
17,29.616752230377557,66.6470588235294,-0.16793170136092597,1.361831657030313,5.179696207712474,PA-CSAC,62,all
10,23.976573724230548,70.0,0.15636885686957966,0.7602738615111928,4.721527929088333,DDPG,22,valid
17,28.215077299390085,65.41176470588235,1.2337432296265407,0.8801731673166786,4.479381753339211,DDPG,22,all
10,23.86856440039216,70.0,0.2643781807079637,0.7708579823600739,4.560824251470287,DDPG,32,valid
17,28.142871027137943,65.41176470588235,1.3059495018786829,0.8836511948934794,4.400639797967598,DDPG,32,all
10,23.662854361349883,70.0,0.47008821975023923,0.771066050704254,4.772371339347321,DDPG,42,valid
17,27.926123088513126,65.41176470588235,1.5226974405035014,0.8806542915878546,4.549542492515517,DDPG,42,all
11,24.632166380343076,70.0,0.4262536116130518,0.7878222219274856,4.651678150562903,DDPG,52,valid
17,28.398978481310188,65.58823529411765,1.0498420477064432,0.8903334547697151,4.520128142741954,DDPG,52,all
9,24.29515944809743,70.0,-0.8397570814507294,3.4194180312810647,16.179261196318333,DDPG,62,valid
17,28.18012502234513,62.705882352941174,1.268695506671499,3.0359209342153024,13.048035319690984,DDPG,62,all
12,23.992041201875107,70.0,0.5937277344758349,0.787967899606758,4.987465990131133,TD3,22,valid
17,28.15255131269963,65.52941176470588,1.2962692163169987,0.8896190303645165,4.398938933875593,TD3,22,all
10,23.941464852514503,70.0,0.1914777285856218,0.7728583806342824,4.614009141949964,TD3,32,valid
17,28.317412555991524,65.47058823529412,1.1314079730251025,0.8957453068094535,4.433223529758456,TD3,32,all
11,25.482392308958904,70.0,0.42636502559389483,0.8114938853746669,4.48365317689829,TD3,42,valid
17,28.194074679000984,65.41176470588235,1.2547458500156448,0.8984257917313229,4.450993700985957,TD3,42,all
10,23.746089375506138,70.0,0.3868532055939842,0.7777614844981565,4.65730802050138,TD3,52,valid
17,28.130612465184427,65.58823529411765,1.3182080638322018,0.8934860085644457,4.441969507032796,TD3,52,all
10,24.681075924451076,70.0,0.4096687992010146,0.7867089429648161,4.669118938511233,TD3,62,valid
17,27.699707630387845,65.17647058823529,1.749112898628785,0.8860143472418449,4.501061524047779,TD3,62,all
9,23.832785773675322,70.0,1.0878313768187071,0.741019007445185,4.956068328911224,SAC,22,valid
17,28.229811602084066,67.11764705882354,1.2190089269325612,0.8795674535198351,4.528581675646607,SAC,22,all
10,24.912862539452995,70.0,0.17788218419909702,0.7899568072517653,5.007722151942941,SAC,32,valid
17,28.11140181564087,65.70588235294117,1.3374187133757598,0.900831297399102,4.710881766027266,SAC,32,all
9,22.03876016754436,70.0,1.055860455277858,0.7093288347027832,5.2384235056511885,SAC,42,valid
17,27.28199064765217,64.52941176470588,2.1668298813644604,0.8358327299611903,4.640778607989745,SAC,42,all
10,24.723901112658808,70.0,0.36684361099328655,0.8124102850688807,4.390443160155351,SAC,52,valid
17,28.750095291805987,70.0,0.6987252372106408,0.9768053963063072,4.465052547119948,SAC,52,all
11,26.761634933746244,70.0,0.6411195598107698,0.8074077205823152,4.659412821450375,SAC,62,valid
17,28.23988134487113,66.11764705882354,1.2089391841454986,0.8818184315944874,4.598645047944229,SAC,62,all
12,27.228354952730456,70.0,-0.943485449106782,3.919614493989059,16.266176216934458,PPO,22,valid
17,30.712367800378402,70.0,-1.2635472713617768,4.54623916126106,16.038752946210245,PPO,22,all
12,29.13769513328076,70.0,-1.235707333715053,4.174044424797656,15.935580137741889,PPO,32,valid
17,30.83926841214205,70.0,-1.3904478831254243,4.583961433592276,15.947483158170257,PPO,32,all
13,28.985512393968158,70.0,-1.140536933904531,4.048949889353503,14.2244339058176,PPO,42,valid
17,30.703898583683024,70.0,-1.2550780546664002,4.446468439540932,14.603529554374465,PPO,42,all
13,27.69934895087395,70.0,-0.7408580680731253,3.8073468524823535,14.195878007891594,PPO,52,valid
17,30.54078452482269,70.0,-1.0919639958060607,4.2768895621491785,14.287520494919026,PPO,52,all
9,29.534109940923965,70.0,-1.195654975145205,4.17621884348269,15.190893191723413,PPO,62,valid
17,30.781494146438416,70.0,-1.332673617421789,4.598565225945205,15.715495918803262,PPO,62,all
14,30.42549132523197,70.0,-1.0929248899983002,4.203250370428893,14.90431522402532,PPO-Lag,22,valid
17,30.63815543237856,70.0,-1.189334903361931,4.381540885777315,15.379257062177984,PPO-Lag,22,all
13,30.311941720707868,70.0,-1.2796391434841181,4.2863583691635965,15.788829917568835,PPO-Lag,32,valid
17,30.695427084046862,70.0,-1.2466065550302332,4.569358857669048,16.186615169246437,PPO-Lag,32,all
1,1.0358871533530098,70.0,3.0202688895463945,0.3382284427728479,32.65108961705469,PPO-Lag,42,valid
17,25.656733331631695,60.411764705882355,3.792087197384931,0.8435087328155336,5.409035289963113,PPO-Lag,42,all
14,29.07869519325958,70.0,-1.2275379088045464,4.161818250399669,15.7909500535901,PPO-Lag,52,valid
17,30.84224003483108,70.0,-1.3934195058144536,4.502413997509592,15.761478306038839,PPO-Lag,52,all
14,29.078889482627606,70.0,-1.2277321981725726,4.161852024347556,15.790964628437779,PPO-Lag,62,valid
17,30.842421459809483,70.0,-1.3936009307928536,4.502445946516245,15.7614921998253,PPO-Lag,62,all
8,20.196964611135215,70.0,0.9488272664474554,0.6234257956298557,4.87606001959786,SMORL,22,valid
17,27.38386847063732,64.11764705882354,2.0649520583793093,0.843167221568721,4.313071233528875,SMORL,22,all
8,20.640831805009505,70.0,0.5049600725731664,0.6349765487553477,3.735367438038627,SMORL,32,valid
17,27.568802611318738,64.11764705882354,1.880017917697892,0.8457973261893015,3.7782514457892624,SMORL,32,all
7,18.537680822006536,70.0,0.727053595157062,0.5835834819174968,5.173599004495592,SMORL,42,valid
17,27.342314180345877,64.11764705882354,2.106506348670755,0.8430930261279864,4.3172759612030776,SMORL,42,all
6,17.039398538548596,70.0,0.6486358459149192,0.54055933177565,5.989932651446623,SMORL,52,valid
17,27.207584937746166,64.11764705882354,2.241235591270465,0.8382954247471142,4.56157838151335,SMORL,52,all
8,20.058486754305022,70.0,1.087305123277647,0.6220035833843752,4.895968562419668,SMORL,62,valid
17,27.31870242036429,64.11764705882354,2.1301181086523404,0.8424979452179067,4.322439959562666,SMORL,62,all
10,23.82882262939088,70.0,0.3041199517092435,0.7692166520660008,4.745269587315292,HRL,22,valid
17,28.09042547938443,65.41176470588235,1.3583950496322021,0.884570904275659,4.48557371029829,HRL,22,all
11,25.62189622944206,70.0,0.28686110511074375,0.8160266862164288,4.427810181469469,HRL,32,valid
17,28.192080670683815,65.52941176470588,1.2567398583328133,0.897057742619983,4.43863807057641,HRL,32,all
11,24.639937336019475,70.0,0.41848265593665396,0.7864202600141904,4.542194727657624,HRL,42,valid
17,28.23031029719459,65.41176470588235,1.218510231822038,0.8770474650882885,4.4299435765067665,HRL,42,all
11,24.702250521135795,70.0,0.35616947082033446,0.7889700230333596,4.507354650315474,HRL,52,valid
17,28.263445264802442,65.41176470588235,1.1853752642141842,0.8824967808678901,4.456381553699614,HRL,52,all
11,24.66143396503768,70.0,0.3969860269184464,0.7870490817159567,4.582075046454379,HRL,62,valid
17,28.222261252593047,65.41176470588235,1.2265592764235813,0.8763138699611772,4.452064072446517,HRL,62,all
