method,seed,vsr_legacy,vsr_current,n_valid_current,fuel_current_mean,gap_rmse_current_mean,jerk_rmse_current_mean,vr_hard_current_mean,shield_rate_valid_mean,shield_rate_all_mean,rate_limit_rate_all_mean,shield_delta_abs_all_mean,config
PA-CSAC,22,0.9411764705882353,1.0,17,8.397067558000158,16.511227933994835,0.54959352928538,0.042016806722689044,0.07563025210084028,0.07563025210084028,0.31512605042016806,0.3885218822816465,eta_low
DDPG,22,0.5882352941176471,0.5882352941176471,10,5.110807542783197,32.519037450971,0.194068428315592,0.0028571428571428402,0.2314285714285714,0.29456752397928865,0.03025210084033611,0.06362291159223331,eta_low
TD3,22,0.6470588235294118,0.7058823529411765,12,5.399155306550454,34.16554970362674,0.21408213813141905,0.0071428571428571175,0.1464285714285714,0.1692319032876308,0.031092436974789885,0.06838587333898694,eta_low
SAC,22,0.5294117647058824,0.5294117647058824,9,5.365082615473186,35.252103510378035,0.18988583150147903,0.0015873015873015778,0.37936507936507935,0.3215686274509804,0.024369747899159643,0.06694566064030685,eta_low
PPO,22,0.6470588235294118,0.7058823529411765,12,16.801435722738066,15.861493633719514,1.2691491717162247,0.1595238095238095,0.00476190476190475,0.005882352941176453,0.565546218487395,1.1009079639030104,eta_low
PPO-Lag,22,0.7647058823529411,0.8235294117647058,14,15.351675517986688,16.56536413883956,1.2058162018797511,0.1561224489795918,0.005102040816326515,0.005042016806722671,0.5621848739495797,1.016909030311248,eta_low
PA-CSAC,32,0.9411764705882353,0.9411764705882353,16,6.720539879088447,19.886054138205562,0.41530634007350997,0.025892857142857093,0.08571428571428569,0.08319327731092434,0.25294117647058817,0.22164909492289067,eta_low
DDPG,32,0.5882352941176471,0.5882352941176471,10,4.936862129423228,33.06900016831645,0.21322858470565423,0.0028571428571428402,0.21571428571428566,0.28180544945250824,0.029411764705882328,0.06821986691611194,eta_low
TD3,32,0.5882352941176471,0.5882352941176471,10,4.994446710490155,32.53462762788455,0.21301669552783437,0.005714285714285691,0.14142857142857138,0.24696545284780574,0.029411764705882328,0.06758184067304977,eta_low
SAC,32,0.5882352941176471,0.5882352941176471,10,5.420771121757258,34.289060306290764,0.18615062679504368,0.0,0.20857142857142855,0.32907205435365633,0.03025210084033611,0.07413576638681514,eta_low
PPO,32,0.5882352941176471,0.7058823529411765,12,16.453080586914307,16.947399039637478,1.2747041129755525,0.15595238095238093,0.004761904761904742,0.005042016806722671,0.5638655462184874,1.1303300643207645,eta_low
PPO-Lag,32,0.6470588235294118,0.7647058823529411,13,16.287106012682976,16.333459715011763,1.2482242326729829,0.1637362637362637,0.005494505494505477,0.007563025210084007,0.5680672268907563,1.0763658217041432,eta_low
PA-CSAC,42,0.7058823529411765,0.7058823529411765,12,7.723550299378388,21.823024537639622,0.5663905891393205,0.039285714285714236,0.11785714285714281,0.12352941176470583,0.15966386554621845,0.3751547077591295,eta_low
DDPG,42,0.5882352941176471,0.5882352941176471,10,5.165814206604156,34.65502216775693,0.2030010698305725,0.0028571428571428402,0.18857142857142856,0.30643408878702993,0.029411764705882328,0.0683495242746138,eta_low
TD3,42,0.6470588235294118,0.6470588235294118,11,4.853371359498042,34.25323490417453,0.22053205611165067,0.005194805194805173,0.14805194805194802,0.2669552669552669,0.03193277310924367,0.07321784289780069,eta_low
SAC,42,0.5294117647058824,0.5294117647058824,9,5.670960548410289,36.65806110003057,0.2242479119267941,0.0031746031746031555,0.4174603174603174,0.526750700280112,0.028620143709657753,0.08647507559624533,eta_low
PPO,42,0.6470588235294118,0.7647058823529411,13,14.67902268732874,17.915143435983357,1.1041943047962919,0.13846153846153844,0.006593406593406576,0.008403361344537796,0.473109243697479,0.8474734357039467,eta_low
PPO-Lag,42,0.058823529411764705,0.058823529411764705,1,35.340048753424135,45.33988566170252,0.3916082750703047,0.0,0.0428571428571428,0.033200054215234434,0.1488750338845215,0.14709529128007426,eta_low
PA-CSAC,52,1.0,1.0,17,5.563332368228719,22.255687357738932,0.40406385815104057,0.008403361344537804,0.10336134453781509,0.10336134453781509,0.1529411764705882,0.23588586064360784,eta_low
DDPG,52,0.6470588235294118,0.6470588235294118,11,5.035116123686728,33.01779562356078,0.19984720185967866,0.0038961038961038727,0.20389610389610385,0.19983312473925735,0.02857142857142855,0.06171354194554845,eta_low
TD3,52,0.5882352941176471,0.5882352941176471,10,5.041915564308677,32.57796960770797,0.24244492355452946,0.0028571428571428402,0.10999999999999996,0.1609929078014184,0.03361344537815123,0.07363125419349419,eta_low
SAC,52,0.5882352941176471,0.5882352941176471,10,4.752718686693072,35.32787749376345,0.2231982194978916,0.0014285714285714201,0.1671428571428571,0.19747899159663862,0.039495798319327695,0.08288939417777345,eta_low
PPO,52,0.7058823529411765,0.7647058823529411,13,14.656711070908546,17.503891533780823,1.0223252950698056,0.12637362637362634,0.003296703296703285,0.003361344537815112,0.45378151260504196,0.7625663908699355,eta_low
PPO-Lag,52,0.7058823529411765,0.8235294117647058,14,16.29117486373823,16.956533642517762,1.2523975069910023,0.16224489795918368,0.008163265306122436,0.009243697478991578,0.5764705882352942,1.1446981177410158,eta_low
PA-CSAC,62,0.9411764705882353,0.9411764705882353,16,5.749277961454327,24.987708932553442,0.39478850669157745,0.010714285714285688,0.11607142857142852,0.145442792501616,0.12049127343244986,0.2371005081565648,eta_low
DDPG,62,0.5294117647058824,0.5294117647058824,9,16.76870268857289,14.575279665008704,1.2707167427447432,0.14920634920634918,0.1968253968253968,0.3089961860450395,0.4421164021164021,1.5936131538434293,eta_low
TD3,62,0.5882352941176471,0.5882352941176471,10,5.054311491457314,36.57605673530447,0.18719786883338693,0.0028571428571428402,0.19285714285714278,0.3348781937017231,0.029615482556659002,0.07454632973535762,eta_low
SAC,62,0.6470588235294118,0.6470588235294118,11,5.04398606559567,34.40444222710254,0.16354014817765228,0.001298701298701291,0.2948051948051948,0.28790961360620804,0.022689075630252076,0.0656936517166887,eta_low
PPO,62,0.47058823529411764,0.5294117647058824,9,15.740519121802818,16.94469525712022,1.203862663975489,0.15079365079365073,0.011111111111111089,0.008403361344537796,0.5126050420168067,0.9214797555178155,eta_low
PPO-Lag,62,0.7058823529411765,0.8235294117647058,14,16.291189509634382,16.955986027746267,1.252399619363635,0.16224489795918368,0.008163265306122436,0.009243697478991578,0.5764705882352942,1.1447059059143065,eta_low
ACC,0,1.0,1.0,17,13.426719319820094,16.202852035478163,1.1183261889346459,0.0714285714285714,0.04369747899159659,0.04369747899159659,0.634453781512605,1.0791275071021982,eta_low
MPC,0,0.9411764705882353,1.0,17,16.66508618700405,19.352726136730894,1.3009197008988735,0.10504201680672264,0.07394957983193272,0.07394957983193272,0.6798319327731092,0.678042024420089,eta_low
LQR,0,1.0,1.0,17,15.349416649695982,20.027655793940152,1.398929697152255,0.08739495798319324,0.0714285714285714,0.0714285714285714,0.707563025210084,1.4317565994208343,eta_low
IDM,0,1.0,1.0,17,11.004364221123964,14.677402925201651,0.8545141157796001,0.04201680672268904,0.11764705882352937,0.11764705882352937,0.7058823529411764,0.8918543815844723,eta_low
PA-CSAC,22,0.9411764705882353,1.0,17,7.904158512545306,16.50880136107409,0.5495246321176124,0.04285714285714282,0.07563025210084028,0.07563025210084028,0.31512605042016806,0.3886276232501758,eta_high
DDPG,22,0.5882352941176471,0.5882352941176471,10,4.524771761632764,32.51973780902843,0.1940684147174303,0.0028571428571428402,0.2314285714285714,0.29456752397928865,0.03025210084033611,0.06362343966975005,eta_high
TD3,22,0.6470588235294118,0.7058823529411765,12,4.775937507797426,34.22015974422242,0.2140834156331416,0.0071428571428571175,0.14880952380952378,0.17091257555653835,0.031092436974789885,0.06821996095106915,eta_high
SAC,22,0.5294117647058824,0.5294117647058824,9,4.749174583386687,35.25233368494744,0.18988588920707158,0.0015873015873015778,0.37936507936507935,0.3215686274509804,0.024369747899159643,0.06694610931297908,eta_high
PPO,22,0.6470588235294118,0.7058823529411765,12,15.99599425263944,15.861548363277038,1.2691485405811096,0.1595238095238095,0.00476190476190475,0.005882352941176453,0.565546218487395,1.1009067441615736,eta_high
PPO-Lag,22,0.7647058823529411,0.8235294117647058,14,14.678470949203435,16.56596855584203,1.2058130289433264,0.1561224489795918,0.005102040816326515,0.005042016806722671,0.5621848739495797,1.016901317269862,eta_high
PA-CSAC,32,0.9411764705882353,0.9411764705882353,16,6.203071203146799,19.889252418475564,0.4154520244317538,0.025892857142857093,0.08571428571428569,0.08235294117647056,0.24705882352941172,0.21437723766246947,eta_high
DDPG,32,0.5882352941176471,0.5882352941176471,10,4.370740618176675,33.06555188684544,0.21322944826739473,0.0028571428571428402,0.21428571428571427,0.28096511331805446,0.029411764705882328,0.06821757395545756,eta_high
TD3,32,0.5882352941176471,0.5882352941176471,10,4.421706101609597,32.53318056876553,0.21301687248095727,0.005714285714285691,0.14142857142857138,0.24696545284780574,0.029411764705882328,0.06758127296148266,eta_high
SAC,32,0.5882352941176471,0.5882352941176471,10,4.798523195227325,34.28891869724417,0.1861506277026896,0.0,0.20857142857142855,0.32907205435365633,0.03025210084033611,0.0741357128275246,eta_high
PPO,32,0.5882352941176471,0.7058823529411765,12,15.674284453922231,16.947420359773616,1.2747038830515585,0.15595238095238093,0.004761904761904742,0.005042016806722671,0.5638655462184874,1.1303288762349037,eta_high
PPO-Lag,32,0.6470588235294118,0.7647058823529411,13,15.536893469900011,16.333343825947853,1.248224657257558,0.1637362637362637,0.005494505494505477,0.007563025210084007,0.5680672268907563,1.0763667924083582,eta_high
PA-CSAC,42,0.7058823529411765,0.7058823529411765,12,6.891102380719375,21.818919926730274,0.5664246293931452,0.039285714285714236,0.11785714285714281,0.12352941176470583,0.15966386554621845,0.3751761487582268,eta_high
DDPG,42,0.5882352941176471,0.5882352941176471,10,4.573491503170306,34.65414775995964,0.2030010646879576,0.0028571428571428402,0.18857142857142856,0.30643408878702993,0.029411764705882328,0.06834903394210746,eta_high
TD3,42,0.6470588235294118,0.6470588235294118,11,4.296785376538026,34.24783964130085,0.22053206446668996,0.005194805194805173,0.14805194805194802,0.2669552669552669,0.03193277310924367,0.07321550680107335,eta_high
SAC,42,0.5294117647058824,0.5294117647058824,9,5.019963600791311,36.658340389498605,0.22424781139375627,0.0031746031746031555,0.4174603174603174,0.526750700280112,0.028620143709657753,0.0864756095657138,eta_high
PPO,42,0.6470588235294118,0.7647058823529411,13,13.995900811698114,17.914824995316472,1.10419515687905,0.13846153846153844,0.006593406593406576,0.008403361344537796,0.473109243697479,0.8474737176332905,eta_high
PPO-Lag,42,0.058823529411764705,0.058823529411764705,1,31.29060686573623,45.33988566170252,0.3916082750703047,0.0,0.0428571428571428,0.033200054215234434,0.1488750338845215,0.14709529128007426,eta_high
PA-CSAC,52,1.0,1.0,17,5.020509631795966,22.246663761959592,0.4040664036992768,0.008403361344537804,0.10336134453781509,0.10336134453781509,0.1529411764705882,0.2358491196831641,eta_high
DDPG,52,0.6470588235294118,0.6470588235294118,11,4.4578408284388935,33.014418075339826,0.19984716834168886,0.0038961038961038727,0.20389610389610385,0.19983312473925735,0.02857142857142855,0.06171200315948696,eta_high
TD3,52,0.5882352941176471,0.5882352941176471,10,4.462456385453446,32.58066382908997,0.2424450058851896,0.0028571428571428402,0.10999999999999996,0.1609929078014184,0.03361344537815123,0.07363229814270016,eta_high
SAC,52,0.5882352941176471,0.5882352941176471,10,4.207472624151761,35.327768150572126,0.22319823755724238,0.0014285714285714201,0.1671428571428571,0.19747899159663862,0.039495798319327695,0.08288914415601073,eta_high
PPO,52,0.7058823529411765,0.7647058823529411,13,13.96143111565852,17.503691666600393,1.0223317470855966,0.12637362637362634,0.003296703296703285,0.003361344537815112,0.45378151260504196,0.7625595485071549,eta_high
PPO-Lag,52,0.7058823529411765,0.8235294117647058,14,15.536516785867907,16.956533629568945,1.2523975064911865,0.16224489795918368,0.008163265306122436,0.009243697478991578,0.5764705882352942,1.1446981182418952,eta_high
PA-CSAC,62,0.9411764705882353,0.9411764705882353,16,5.1377269295861385,25.223846143681072,0.39037844245234393,0.010714285714285688,0.11607142857142852,0.145442792501616,0.11965093729799609,0.23183145451095657,eta_high
DDPG,62,0.5294117647058824,0.5294117647058824,9,15.879100465646836,14.570198713987667,1.270716015648654,0.15079365079365073,0.1968253968253968,0.30983652217949326,0.43959539371304074,1.5939709273833595,eta_high
TD3,62,0.5882352941176471,0.5882352941176471,10,4.474550919357628,36.576722637252445,0.1871976302386494,0.0028571428571428402,0.19285714285714278,0.3348781937017231,0.029615482556659002,0.07454664776523688,eta_high
SAC,62,0.6470588235294118,0.6470588235294118,11,4.46480142759262,34.40602927014832,0.16354005470023245,0.001298701298701291,0.2948051948051948,0.28790961360620804,0.022689075630252076,0.06569493665912343,eta_high
PPO,62,0.47058823529411764,0.5294117647058824,9,14.913194688638962,16.94570256512695,1.203851980819562,0.15079365079365073,0.011111111111111089,0.008403361344537796,0.5126050420168067,0.921463313601598,eta_high
PPO-Lag,62,0.7058823529411765,0.8235294117647058,14,15.536531289821017,16.955986027746267,1.252399619363635,0.16224489795918368,0.008163265306122436,0.009243697478991578,0.5764705882352942,1.1447059059143065,eta_high
ACC,0,1.0,1.0,17,12.817755507529768,16.202852035478163,1.1183261889346459,0.0714285714285714,0.04369747899159659,0.04369747899159659,0.634453781512605,1.0791275071021982,eta_high
MPC,0,0.9411764705882353,1.0,17,15.945159339405196,19.352726136730894,1.3009197008988735,0.10504201680672264,0.07394957983193272,0.07394957983193272,0.6798319327731092,0.678042024420089,eta_high
LQR,0,1.0,1.0,17,14.660302237451223,20.027655793940152,1.398929697152255,0.08739495798319324,0.0714285714285714,0.0714285714285714,0.707563025210084,1.4317565994208343,eta_high
IDM,0,1.0,1.0,17,10.230247236332984,14.677402925201651,0.8545141157796001,0.04201680672268904,0.11764705882352937,0.11764705882352937,0.7058823529411764,0.8918543815844723,eta_high
PA-CSAC,22,0.9411764705882353,1.0,17,9.116159807251146,16.50994750309556,0.549554402646127,0.04201680672268908,0.07563025210084033,0.07563025210084033,0.31512605042016806,0.38859550959734684,eng_low
DDPG,22,0.5882352941176471,0.5882352941176471,10,4.721527929088333,32.519485104027574,0.19406841938759684,0.002857142857142857,0.23142857142857146,0.29456752397928865,0.03025210084033613,0.06362324144002075,eng_low
TD3,22,0.6470588235294118,0.7058823529411765,12,4.987465990131133,34.16224347565959,0.21408288176899729,0.007142857142857143,0.14642857142857144,0.16923190328763085,0.031092436974789917,0.06838502068969175,eng_low
SAC,22,0.5294117647058824,0.5294117647058824,9,4.956068328911224,35.2522568416849,0.18988587031485252,0.0015873015873015873,0.37936507936507935,0.3215686274509804,0.02436974789915966,0.06694594361556234,eng_low
PPO,22,0.6470588235294118,0.7058823529411765,12,18.722745840043075,15.861523378338395,1.269148820072934,0.15952380952380954,0.0047619047619047615,0.0058823529411764705,0.565546218487395,1.1009072924241297,eng_low
PPO-Lag,22,0.7647058823529411,0.8235294117647058,14,17.282254192058385,16.565697188447036,1.2058144628660457,0.15612244897959185,0.00510204081632653,0.005042016806722689,0.5621848739495798,1.016904846465888,eng_low
PA-CSAC,32,0.9411764705882353,0.9411764705882353,16,6.950966273507781,19.887875269729953,0.4153870357565793,0.02589285714285714,0.08571428571428572,0.08235294117647059,0.24537815126050422,0.21420521181065028,eng_low
DDPG,32,0.5882352941176471,0.5882352941176471,10,4.560824251470287,33.0668238240779,0.21322913642136174,0.002857142857142857,0.21428571428571427,0.28096511331805446,0.029411764705882353,0.06821839670768955,eng_low
TD3,32,0.5882352941176471,0.5882352941176471,10,4.614009141949964,32.53371830768328,0.21301680082320887,0.005714285714285714,0.1414285714285714,0.24696545284780574,0.029411764705882353,0.0675814715096728,eng_low
SAC,32,0.5882352941176471,0.5882352941176471,10,5.007722151942941,34.28897023066113,0.18615062687385214,0.0,0.20857142857142855,0.32907205435365633,0.03025210084033613,0.0741357308964481,eng_low
PPO,32,0.5882352941176471,0.7058823529411765,12,18.360391635905675,16.94741129801853,1.2747039836593443,0.15595238095238095,0.0047619047619047615,0.005042016806722689,0.5638655462184874,1.1303294153814556,eng_low
