method,seed,vsr_legacy,vsr_current,n_valid_current,fuel_current_mean,gap_rmse_current_mean,jerk_rmse_current_mean,vr_hard_current_mean,shield_rate_valid_mean,shield_rate_all_mean,rate_limit_rate_all_mean,shield_delta_abs_all_mean,ckpt
PA-CSAC,22,0.9411764705882353,1.0,17,8.070290357800427,16.50994750309556,0.549554402646127,0.042016806722689044,0.07563025210084028,0.07563025210084028,0.31512605042016806,0.38859550959734684,final
DDPG,22,0.5882352941176471,0.5882352941176471,10,4.721527929088333,32.519485104027574,0.19406841938759678,0.0028571428571428402,0.2314285714285714,0.29456752397928865,0.03025210084033611,0.06362324144002073,final
TD3,22,0.6470588235294118,0.7058823529411765,12,4.987465990131133,34.16224347565959,0.21408288176899723,0.0071428571428571175,0.1464285714285714,0.1692319032876308,0.031092436974789885,0.06838502068969173,final
SAC,22,0.5294117647058824,0.5294117647058824,9,4.956068328911224,35.2522568416849,0.18988587031485246,0.0015873015873015778,0.37936507936507935,0.3215686274509804,0.024369747899159643,0.06694594361556232,final
PA-CSAC,32,0.9411764705882353,0.9411764705882353,16,6.376945994313968,19.887875269729953,0.4153870357565793,0.025892857142857093,0.08571428571428569,0.08235294117647056,0.24537815126050416,0.21420521181065022,final
DDPG,32,0.5882352941176471,0.5882352941176471,10,4.560824251470287,33.0668238240779,0.21322913642136174,0.0028571428571428402,0.21428571428571427,0.28096511331805446,0.029411764705882328,0.0682183967076895,final
TD3,32,0.5882352941176471,0.5882352941176471,10,4.614009141949964,32.53371830768328,0.2130168008232088,0.005714285714285691,0.14142857142857138,0.24696545284780574,0.029411764705882328,0.06758147150967275,final
SAC,32,0.5882352941176471,0.5882352941176471,10,5.007722151942941,34.28897023066113,0.18615062687385214,0.0,0.20857142857142855,0.32907205435365633,0.03025210084033611,0.07413573089644804,final
PA-CSAC,42,0.7058823529411765,0.7058823529411765,12,7.170870341350152,21.822054285698812,0.5664180827338798,0.039285714285714236,0.11785714285714281,0.12352941176470583,0.15966386554621845,0.3751722078127513,final
DDPG,42,0.5882352941176471,0.5882352941176471,10,4.772371339347321,34.6544625451118,0.20300106700042705,0.0028571428571428402,0.18857142857142856,0.30643408878702993,0.029411764705882328,0.06834920052199998,final
TD3,42,0.6470588235294118,0.6470588235294118,11,4.48365317689829,34.24978267849723,0.22053205883595395,0.005194805194805173,0.14805194805194802,0.2669552669552669,0.03193277310924367,0.07321637622865848,final
SAC,42,0.5294117647058824,0.5294117647058824,9,5.2384235056511885,36.65824199097221,0.22424784581790302,0.0031746031746031555,0.4174603174603174,0.526750700280112,0.028620143709657753,0.08647542536797725,final
PA-CSAC,52,1.0,1.0,17,5.202723305311876,22.250528676216916,0.4040642978569843,0.008403361344537804,0.10336134453781509,0.10336134453781509,0.1529411764705882,0.23586443440245167,final
DDPG,52,0.6470588235294118,0.6470588235294118,11,4.651678150562903,33.01563457076341,0.19984718909119428,0.0038961038961038727,0.20389610389610385,0.19983312473925735,0.02857142857142855,0.06171258507453975,final
TD3,52,0.5882352941176471,0.5882352941176471,10,4.65730802050138,32.579678056378874,0.242444976502432,0.0028571428571428402,0.10999999999999996,0.1609929078014184,0.03361344537815123,0.07363191588461845,final
SAC,52,0.5882352941176471,0.5882352941176471,10,4.390443160155351,35.32780758996651,0.2231982304293186,0.0014285714285714201,0.1671428571428571,0.19747899159663862,0.039495798319327695,0.08288924257489338,final
PA-CSAC,62,0.9411764705882353,0.9411764705882353,16,5.348375703434284,25.22273321390673,0.39125392925654157,0.010714285714285688,0.11517857142857137,0.1446024563671622,0.12049127343244989,0.23234995153754537,final
DDPG,62,0.5294117647058824,0.5294117647058824,9,16.179261196318333,14.571998211619388,1.270716351380048,0.14920634920634918,0.1968253968253968,0.3089961860450395,0.4421164021164021,1.5936161642841777,final
TD3,62,0.5882352941176471,0.5882352941176471,10,4.669118938511233,36.5764847784111,0.18719772695738396,0.0028571428571428402,0.19285714285714278,0.3348781937017231,0.029615482556659002,0.07454651995603345,final
SAC,62,0.6470588235294118,0.6470588235294118,11,4.659412821450375,34.40547572465033,0.16354008933458392,0.001298701298701291,0.2948051948051948,0.28790961360620804,0.022689075630252076,0.06569444487640042,final
