method,seed,vsr_legacy,vsr_current,n_valid_current,fuel_current_mean,gap_rmse_current_mean,jerk_rmse_current_mean,vr_hard_current_mean,shield_rate_valid_mean,shield_rate_all_mean,rate_limit_rate_all_mean,shield_delta_abs_all_mean
CompAblation_full_penalty_embed,22,1.0,1.0,17,6.196165340574843,21.422053922790784,0.3819286106058532,0.020168067226890758,0.05126050420168067,0.05126050420168067,0.09243697478991596,0.1529513503359396
CompAblation_lagrangian_embed,22,1.0,1.0,17,6.1962395330937605,21.429551606136737,0.38192630891153806,0.020168067226890758,0.05126050420168067,0.05126050420168067,0.09243697478991596,0.15295004944079518
CompAblation_no_constraint_embed,22,1.0,1.0,17,5.84762793504838,22.153309202716585,0.3562628286586295,0.011764705882352941,0.04789915966386554,0.04789915966386554,0.08067226890756302,0.12419859067069666
CompAblation_penalty_no_embed,22,0.8823529411764706,0.9411764705882353,16,5.458229000385466,26.271607517289574,0.2990557579909458,0.013392857142857142,0.10892857142857143,0.11512605042016807,0.061344537815126055,0.10661465818097642
CompAblation_no_constraint_no_embed,22,0.9411764705882353,0.9411764705882353,16,4.980990175961031,28.564571046110487,0.2614532712670353,0.009821428571428571,0.2044642857142857,0.20672268907563024,0.04873949579831933,0.0953485024652264
CompAblation_full_penalty_embed,32,1.0,1.0,17,5.939119575319156,23.553124677088277,0.3503404747930054,0.01596638655462185,0.06890756302521008,0.06890756302521008,0.07394957983193277,0.1233489649371115
CompAblation_lagrangian_embed,32,1.0,1.0,17,5.938862196180914,23.544026813812447,0.35034523224526704,0.01596638655462185,0.06974789915966385,0.06974789915966385,0.07394957983193277,0.12335311038628174
CompAblation_no_constraint_embed,32,0.9411764705882353,0.9411764705882353,16,6.202234388042687,22.90085641115742,0.3657009113419033,0.01875,0.04732142857142857,0.06134453781512604,0.08403361344537816,0.1375095431353827
CompAblation_penalty_no_embed,32,0.9411764705882353,0.9411764705882353,16,6.100476854416861,14.18874299767968,0.3816845690819742,0.019642857142857142,0.06160714285714286,0.09159663865546218,0.24537815126050416,0.2451556334377681
CompAblation_no_constraint_no_embed,32,0.9411764705882353,0.9411764705882353,16,6.6247399428912495,14.271876363181054,0.4972366703844361,0.017857142857142856,0.060714285714285714,0.0907563025210084,0.3773109243697479,0.4369667825985997
CompAblation_full_penalty_embed,42,1.0,1.0,17,7.142402193829071,18.16810807648308,0.6107596305152334,0.031092436974789917,0.08235294117647059,0.08235294117647059,0.2697478991596639,0.463246934548169
CompAblation_lagrangian_embed,42,0.5294117647058824,0.5294117647058824,9,5.376316826275576,28.015719471375306,0.3715148152011596,0.01746031746031746,0.12698412698412698,0.3373728438743918,0.053781512605042006,0.11563412143211063
CompAblation_no_constraint_embed,42,0.7058823529411765,0.7058823529411765,12,7.4110549199159115,21.386289132896355,0.6155692851538149,0.036904761904761905,0.11428571428571428,0.1401998637292755,0.15425846014081307,0.30879305227930437
CompAblation_penalty_no_embed,42,1.0,1.0,17,5.963265576439334,17.85437260964242,0.42898198392027664,0.021848739495798318,0.06218487394957982,0.06218487394957982,0.16050420168067228,0.2259599733430689
CompAblation_no_constraint_no_embed,42,0.5294117647058824,0.5294117647058824,9,5.124622055071331,35.7130562418142,0.22415237475204577,0.0015873015873015873,0.37460317460317455,0.46930094442148446,0.02990770078523212,0.07730472647684589
CompAblation_full_penalty_embed,52,0.6470588235294118,0.6470588235294118,11,9.287013934156537,19.303835787028643,0.8174053548516887,0.07272727272727271,0.14675324675324675,0.37840065058281375,0.21092436974789916,0.579956116751678
CompAblation_lagrangian_embed,52,0.7058823529411765,0.7058823529411765,12,8.266315556831414,20.16985365773243,0.7197369580936899,0.04642857142857141,0.11904761904761903,0.11680672268907563,0.24453781512605038,0.49481377499514567
CompAblation_no_constraint_embed,52,0.7058823529411765,0.7058823529411765,12,8.627380605160303,18.506117503051378,0.7878273977858146,0.05119047619047618,0.10595238095238095,0.1084033613445378,0.2495798319327731,0.5469015170437198
CompAblation_penalty_no_embed,52,0.9411764705882353,0.9411764705882353,16,6.441785481622755,19.57449134056167,0.5198787242009419,0.025,0.07767857142857143,0.07899159663865546,0.21176470588235294,0.3886472506612802
CompAblation_no_constraint_no_embed,52,0.7058823529411765,0.7058823529411765,12,6.296335550358482,23.780796018416698,0.5332422499987881,0.02619047619047619,0.11785714285714287,0.13507167572911516,0.13035096391497775,0.26770079136178854
CompAblation_full_penalty_embed,62,1.0,1.0,17,4.543502622063549,23.46005075892595,0.2101336925077566,0.009243697478991597,0.09075630252100841,0.09075630252100841,0.05462184873949579,0.0784372113273174
CompAblation_lagrangian_embed,62,1.0,1.0,17,4.659657248061261,27.41500675775687,0.22735244286698197,0.006722689075630252,0.2033613445378151,0.2033613445378151,0.056302521008403356,0.1001826598892231
CompAblation_no_constraint_embed,62,0.6470588235294118,0.6470588235294118,11,4.274651869999147,33.27138757505,0.23498159739104585,0.003896103896103896,0.12077922077922075,0.13796127146510778,0.03529411764705882,0.07119252873332556
CompAblation_penalty_no_embed,62,0.7058823529411765,0.7058823529411765,12,6.92559664268522,23.414105885767654,0.5727574096184808,0.029761904761904764,0.10595238095238098,0.1483548643337932,0.1415903674902797,0.28434791159470174
CompAblation_no_constraint_no_embed,62,0.7058823529411765,0.7058823529411765,12,5.6348874025490785,27.149047130055877,0.4139440714670026,0.01904761904761905,0.15119047619047618,0.19928894634776986,0.10536522301228182,0.22171932676814898
