method,n_seeds,fuel_mean,fuel_std,gap_mean,gap_std,jerk_mean,jerk_std,vr_mean,vr_std,vsr_mean,vsr_std
DDPG,5,6.977132573357435,5.14475897838456,29.565680851120014,8.42008551875272,0.4161724326561256,0.477755200223817,0.03233477633477634,0.06533474432083318,0.5882352941176471,0.04159451654038516
PA-CSAC,5,6.4338411404421425,1.2163779717414203,21.138627789729593,3.2160680782096773,0.46533554965002233,0.08521678313454714,0.025262605042016772,0.015601568653828906,0.9176470588235294,0.12197906678428069
PPO,5,15.16259229202179,0.9527442330745407,17.034587298303762,0.7724744734037517,1.1748465929513292,0.10949811222715175,0.14622100122100123,0.01366291637041231,0.6941176470588235,0.09665692191267634
PPO-Lag,5,18.985229888135343,7.649073695696401,22.430299696681054,12.809617010477556,1.0700888668559476,0.3797904997130722,0.1288697017268446,0.07209992518969588,0.6588235294117647,0.33637596365872463
SAC,5,4.850413993622216,0.3295886421267435,35.18655047558701,0.9494570656429633,0.19740453255410206,0.026056954477415187,0.0014978354978354977,0.0011299908342713644,0.5764705882352941,0.04921529567847503
TD3,5,4.6823110535984,0.1857746093823418,34.02038145932602,1.6501672302064585,0.2154548889775952,0.019751812330989115,0.004753246753246753,0.001872112945692716,0.6235294117647059,0.052613364176465637
ACC,0,13.022579375088524,0.0,16.202852035478163,0.0,1.1183261889346459,0.0,0.07142857142857142,0.0,1.0,0.0
MPC,0,16.187404096461346,0.0,19.352726136730894,0.0,1.3009197008988735,0.0,0.10504201680672269,0.0,1.0,0.0
LQR,0,14.892434307022652,0.0,20.02765579394015,0.0,1.398929697152255,0.0,0.08739495798319329,0.0,1.0,0.0
IDM,0,10.490373992931817,0.0,14.67740292520165,0.0,0.8545141157796001,0.0,0.04201680672268908,0.0,1.0,0.0
