method,seed,vsr_legacy,vsr_current,n_valid_current,fuel_current_mean,gap_rmse_current_mean,jerk_rmse_current_mean,vr_hard_current_mean,shield_rate_valid_mean,shield_rate_all_mean,rate_limit_rate_all_mean,shield_delta_abs_all_mean
ShieldOff_DDPG,22,0.058823529411764705,0.058823529411764705,1,2.7419364391387235,29.09621598768087,0.0004217082545169892,0.0,0.0,0.0,0.0,0.0
ShieldOff_DDPG,32,0.058823529411764705,0.058823529411764705,1,2.7481318268520565,29.33327100914595,0.002149999005368255,0.0,0.0,0.0,0.0,0.0
ShieldOff_DDPG,42,0.11764705882352941,0.11764705882352941,2,2.7462414403332778,34.281882595529446,0.001066938827314328,0.0,0.0,0.0,0.0,0.0
ShieldOff_DDPG,52,0.17647058823529413,0.17647058823529413,3,2.7485763829086998,37.03114695934778,0.0008110859602288512,0.0,0.0,0.0,0.0,0.0
ShieldOff_DDPG,62,0.0,0.0,0,,,,,,0.0,0.30688527159115386,0.30130717614511676
ShieldOff_TD3,22,0.23529411764705882,0.23529411764705882,4,2.7635460947468165,39.33098295604823,0.002367228635967666,0.0,0.0,0.0,0.0,0.0
ShieldOff_TD3,32,0.11764705882352941,0.11764705882352941,2,2.7528957673025767,34.3219030852554,0.001747290184022299,0.0,0.0,0.0,0.0,0.0
ShieldOff_TD3,42,0.23529411764705882,0.23529411764705882,4,2.7373771333451233,39.38787970864734,0.003809066054747186,0.03571428571428571,0.0,0.0,0.0,0.0
ShieldOff_TD3,52,0.17647058823529413,0.17647058823529413,3,2.7452977726685996,36.553997357256925,0.0021925430071338212,0.009523809523809523,0.0,0.0,0.0,0.0
ShieldOff_TD3,62,0.17647058823529413,0.17647058823529413,3,2.6832950282989754,40.406184273406545,0.004646021656596296,0.0,0.0,0.0,0.0,0.0
ShieldOff_SAC,22,0.17647058823529413,0.17647058823529413,3,2.3681923779611083,28.71221769026241,0.0031557593585359984,0.0,0.0,0.0,0.0,0.0
ShieldOff_SAC,32,0.23529411764705882,0.23529411764705882,4,2.7212976398047184,36.939543238894686,0.0032571801323838176,0.0,0.0,0.0,0.0,0.0
ShieldOff_SAC,42,0.11764705882352941,0.11764705882352941,2,2.4225957168297176,17.375466250349728,0.0038266200108646457,0.0,0.0,0.0,0.0,0.0
ShieldOff_SAC,52,0.17647058823529413,0.17647058823529413,3,2.857299823684239,37.41885722646426,0.003364218020681861,0.0,0.0,0.0,0.029411764705882353,0.0019239692127003387
ShieldOff_SAC,62,0.23529411764705882,0.23529411764705882,4,2.508364414644474,34.37406813032926,0.012270661851724533,0.0,0.0,0.0,0.0,0.0
ShieldOff_PPO,22,0.6470588235294118,0.7058823529411765,12,16.372690541113055,15.872171308344077,1.2633323481721017,0.16428571428571428,0.0,0.0,0.5529411764705882,1.0938113774371747
ShieldOff_PPO,32,0.5294117647058824,0.6470588235294118,11,16.12711382337859,16.333647515945813,1.2698744232665815,0.15974025974025974,0.0,0.0,0.5521008403361345,1.1066615099906922
ShieldOff_PPO,42,0.5882352941176471,0.7647058823529411,13,14.446873469517756,18.406351618936302,1.0815209393369178,0.14285714285714285,0.0,0.0,0.46302521008403363,0.8363277100897512
ShieldOff_PPO,52,0.7058823529411765,0.7647058823529411,13,14.399415556188796,17.704752232281525,1.0177688790178525,0.13076923076923078,0.0,0.0,0.4411764705882353,0.7482135455778666
ShieldOff_PPO,62,0.47058823529411764,0.5294117647058824,9,14.914877301602154,15.797416678239554,1.2087363310823336,0.15238095238095237,0.0,0.0,0.5176470588235293,0.9397563602303256
ShieldOff_PPO-Lag,22,0.7647058823529411,0.7647058823529411,13,14.900372527135172,15.311311602791875,1.209698911291612,0.15494505494505495,0.0,0.0,0.5554621848739496,1.012065829527478
ShieldOff_PPO-Lag,32,0.5882352941176471,0.7058823529411765,12,16.19053337921463,16.463450965462705,1.2404446889861866,0.16428571428571428,0.0,0.0,0.5462184873949579,1.0477183577473423
ShieldOff_PPO-Lag,42,0.058823529411764705,0.058823529411764705,1,32.65108961705469,45.33988566170252,0.25288613960359985,0.0,0.0,0.0,0.19662543339013927,0.1938105278314675
ShieldOff_PPO-Lag,52,0.6470588235294118,0.7647058823529411,13,16.107138960132524,16.637740854295984,1.2544626962947332,0.16593406593406593,0.0,0.0,0.5554621848739496,1.1167738902628923
ShieldOff_PPO-Lag,62,0.6470588235294118,0.7647058823529411,13,16.107155280057217,16.637091607960322,1.2544650468628729,0.16593406593406593,0.0,0.0,0.5554621848739496,1.1167815367874978
