case,algo,score,metric_valid,w_energy,w_safe,w_comfort,w_soc
0,ACC,1.1500000000000001,1.0,0.4,0.4,0.15,0.05
0,MPC,1.221975645731378,1.0,0.4,0.4,0.15,0.05
0,LQR,1.3764771948615606,1.0,0.4,0.4,0.15,0.05
0,IDM,0.8669971744519966,1.0,0.4,0.4,0.15,0.05
0,DDPG,,0.0,0.4,0.4,0.15,0.05
0,TD3,,0.0,0.4,0.4,0.15,0.05
0,SAC,,0.0,0.4,0.4,0.15,0.05
0,PPO,1.4042937607657713,1.0,0.4,0.4,0.15,0.05
0,PA-CSAC,0.6509056610134367,1.0,0.4,0.4,0.15,0.05
1,ACC,1.1500000000000001,1.0,0.5,0.3,0.15,0.05
1,MPC,1.221353205749298,1.0,0.5,0.3,0.15,0.05
1,LQR,1.3591988619364357,1.0,0.5,0.3,0.15,0.05
1,IDM,0.8426456103711819,1.0,0.5,0.3,0.15,0.05
1,DDPG,,0.0,0.5,0.3,0.15,0.05
1,TD3,,0.0,0.5,0.3,0.15,0.05
1,SAC,,0.0,0.5,0.3,0.15,0.05
1,PPO,1.3798913638017147,1.0,0.5,0.3,0.15,0.05
1,PA-CSAC,0.6353250595533596,1.0,0.5,0.3,0.15,0.05
2,ACC,1.1500000000000001,1.0,0.3,0.5,0.15,0.05
2,MPC,1.222598085713458,1.0,0.3,0.5,0.15,0.05
2,LQR,1.3937555277866855,1.0,0.3,0.5,0.15,0.05
2,IDM,0.8913487385328112,1.0,0.3,0.5,0.15,0.05
2,DDPG,,0.0,0.3,0.5,0.15,0.05
2,TD3,,0.0,0.3,0.5,0.15,0.05
2,SAC,,0.0,0.3,0.5,0.15,0.05
2,PPO,1.4286961577298278,1.0,0.3,0.5,0.15,0.05
2,PA-CSAC,0.666486262473514,1.0,0.3,0.5,0.15,0.05
3,ACC,1.1,1.0,0.45,0.35,0.1,0.1
3,MPC,1.16396274582503,1.0,0.45,0.35,0.1,0.1
3,LQR,1.3109284975431224,1.0,0.45,0.35,0.1,0.1
3,IDM,0.8339261207768197,1.0,0.45,0.35,0.1,0.1
3,DDPG,,0.0,0.45,0.35,0.1,0.1
3,TD3,,0.0,0.45,0.35,0.1,0.1
3,SAC,,0.0,0.45,0.35,0.1,0.1
3,PPO,1.3148005969119263,1.0,0.45,0.35,0.1,0.1
3,PA-CSAC,0.6919057631828115,1.0,0.45,0.35,0.1,0.1
4,ACC,1.1,1.0,0.35,0.45,0.1,0.1
4,MPC,1.16458518580711,1.0,0.35,0.45,0.1,0.1
4,LQR,1.3282068304682473,1.0,0.35,0.45,0.1,0.1
4,IDM,0.8582776848576343,1.0,0.35,0.45,0.1,0.1
4,DDPG,,0.0,0.35,0.45,0.1,0.1
4,TD3,,0.0,0.35,0.45,0.1,0.1
4,SAC,,0.0,0.35,0.45,0.1,0.1
4,PPO,1.339202993875983,1.0,0.35,0.45,0.1,0.1
4,PA-CSAC,0.7074863646428886,1.0,0.35,0.45,0.1,0.1
5,ACC,1.2000000000000002,1.0,0.4,0.3,0.2,0.1
5,MPC,1.2773047033230447,1.0,0.4,0.3,0.2,0.1
5,LQR,1.4124018511304943,1.0,0.4,0.3,0.2,0.1
5,IDM,0.9333930711451282,1.0,0.4,0.3,0.2,0.1
5,DDPG,,0.0,0.4,0.3,0.2,0.1
5,TD3,,0.0,0.4,0.3,0.2,0.1
5,SAC,,0.0,0.4,0.3,0.2,0.1
5,PPO,1.4274905414997727,1.0,0.4,0.3,0.2,0.1
5,PA-CSAC,0.734885192919719,1.0,0.4,0.3,0.2,0.1
6,ACC,1.2000000000000002,1.0,0.3,0.4,0.2,0.1
6,MPC,1.2779271433051247,1.0,0.3,0.4,0.2,0.1
6,LQR,1.4296801840556193,1.0,0.3,0.4,0.2,0.1
6,IDM,0.9577446352259429,1.0,0.3,0.4,0.2,0.1
6,DDPG,,0.0,0.3,0.4,0.2,0.1
6,TD3,,0.0,0.3,0.4,0.2,0.1
6,SAC,,0.0,0.3,0.4,0.2,0.1
6,PPO,1.4518929384638293,1.0,0.3,0.4,0.2,0.1
6,PA-CSAC,0.7504657943797961,1.0,0.3,0.4,0.2,0.1
